"It is a lovely colour and looks very sturdy, the box discription bodes well.very small but quite cute. It is a lovely colour and looks very sturdy, the box discription bodes well. Requested by a friend for christmas, I know she will love it.",gift
"it is cute and fun, very pleased with it.bought as a gift, it is cute and fun, very pleased with it.",gift
Happy with product..Bought as a gift and I have been informed it is great. The head is above water level in alot of mugs so is good for stiring also.,gift
"Baby Nessie.Lovely, cute gift, arrived before estimated delivery date, well packaged and was exactly what I expected. Thank you!",gift
Pleasantly surprised!.Bought this as a gift. I was reluctant to buy as i have seen some very negative reviews on similar products and its a bit of a gable on what your going to get. However i was very pleasantly surprised!,gift
"yum yum nom nom.Well what can i say??? Nothing negative that's for sure!!  An all round classic for a babe of the 80s but loved by all generations.  The retro vibe brings tonnes of nostalgia, plus the sweets are all tasty well adored brands.  Even if you don't like the Parma violets, i'm sure you'll know someone who loves them and will snatch your hand off at the offer of them!!!  Warning do not open them with your friends present, your sweets will be snaffled before you can say 'sherbert fountain'.  You could argue that it is expensive compared to buying them individually, but I'm sure it compensates over shopping around at your time and petrol costs.  Great gift for any sweet lover if you're at despair of wondering what to buy them for their birthday or Christmas!!",gift
This product is of a poor quality and I would not recommend buying it.We ordered this as a present for our son.  Unfortunately the chocolate bar was discoloured and had to be thrown away.  This product is  of a poor quality and I would not recommend buying it.,gift
A very well-received present..What do you get the guy who has everything?,gift
Partner loved this gift.Partner loved this gift ... but the chocolate  in the box was not good glad i opened the chocolate and not him,gift
Blast from the past.I purchased this as a side present for my husband's birthday and I'm so glad I did. Not only did he love the sweets but we both spent time reminiscing over past sweets we hadn't seen in years.,gift
"Not given yet but certain they will love it. Came in a nice box but a ....Bought as a birthday gift for some-one who loves anything retro. Not given yet but certain they will love it. Came in a nice box but a bit Christmassy considering i needed it for another occasion, but doesn't take away from the quality or satisfaction. Would be nice to have an option of box designs though. Box is packed fully as apposed to large box and little content which is another plus. Very pleased and would recommend",gift
Mouldy chocolate.Bought as a Christmas present and the chocolate was mouldy. Wonder how old the rest of the sweets are. Not a great gift...,gift
Excellent selection of sweets and memories - great value!.I ordered these for my grown up children ( in late 20s) as extra Christmas gifts. They were a great talking point as they rediscovered childhood favourites. Excellent range of sweets ranging from individual 'penny' chews to packets of jazzle chocolates and the much loved Animal Bar ( chocolate). I would definitely order again! Thank you!,gift
"A very happy sugar high 9yr old !!!!!.Bought for my 9yr old niece, her dentists won't be happy with me, but ah well, it's xmas!!!!",gift
"A very happy sugar high 9yr old !!!!!.Bought for my 9yr old niece, her dentists won't be happy with me, but ah well, it's xmas!!!!",gift
5*.Bought this for my fiance's birthday and he absolutely loved it!! One of the best presents he has received,gift
"Excellent Variety of Sweets.Great product with a plentiful variety of sweets, and very reasonably priced too. Many of these you cannot get in the high st supermarket. Makes a great gift and would buy again",gift
THANK YOU.THIS IS A GIFT THANK YOU FOR YOUR KIND WORK,gift
"Nice little gift..Brilliant gift, I often buy this box of sweets for my other half and he is always happy to find the parcel.  Will continue to buy this product as a small present.",gift
Great Value & Great Gift.Ive had about 7 of these they are great value and loved by all recipients!,gift
Sweet box.Very nice sweet box just the rgt size. Nice little gift,gift
Five Stars.Really good cheap gift,gift
Great value and always gets a smile when opened.Every so often I treat the kids with these boxes. They love then and I get the cast offs which generally are blackjacks and fruit salads so can't complain,gift
"Great Selection of Sweets.Great Selection of sweets, buy these for my sister who is a big sweetie fan, she loves them, came in a lovely gift box all ready for Christmas!",gift
A box of memories.Very heavy -  lots of different sweets and lots of forgotten flavours all in one box.  Makes a great present for grown-ups who can remember many of these sweets -  but watch out if there are little ones around as you might find the box emptying really quickly.,gift
Nom Nom.Perfect. brought as a xmas pressie - loved it. Plenty of choice and a good price. Quick delivery even just before xmas.,gift
Perfect gift.Perfect gift. Bought for my partner as a gift and he loved it. Really enjoyed the variety. The box was filled to the brim. Great gift.,gift
"very sad children at christmas.Purchased 3 boxes,for the children for Christmas,unfortunately all 3 boxes were incomplete,1 box had 3 items missing as per contents list.very disappointed.",gift
Sweets from the past.Arrived on time was packaged excellent and was overjoyed by the product I would highly recommend this as an excellent Christmas present taking you back in time to your youth.,gift
"Five Stars.AMAZING!!! Ordered for my daughter for Christmas, she Is going to love it!!! Thank you",gift
A real black from the past.I brought this as a fun present for part of my husbands Christmas present.  We had a big trip down memory lane looking though and rediscovering all the forgotten gems from our past.  A great fun present and a big talking point at the pub.  Everyone remembers something different and gets reminiscent about the ones they had firgit,gift
"Sweets Galore.Great selection, perfect gift!",gift
"bit smaller than what I thought it would be but am sure they will love it.As its a present I cant open it, bit smaller than what I thought it would be but am sure they will love it",gift
Sweet Treat.I bought two as gifts but they are so good I'm going to have to get one for myself,gift
Fun gift.Smaller than thought but gave as Easter gifts and adults and children enjoyed,gift
"Lovely gift.Lovely packaging, delivered next day!",gift
great treat.lovely treat for the kids,gift
"Bought 2 for gifts, great product..Great product",gift
"FANTASTIC.I ordered this for a "" hard to buy for "" cousin. He grew up in the 70s and 80s and will be thrilled with this big box of retro goodies. I think it is safe to say, that I will be buying him the same gift, year after year. It also arrived exceptionally fast. Thank you A QUARTER OF",gift
"Brilliant! Excellent value and quality.Brilliant! This little box is stuffed full of all your favourite sweeties, takes me back to tuck shop days at school. It was delivered speedily, well packed and in a plain brown wrapper. Perfect for hiding from little eyes or giftees! Highly recommended",gift
I bought this as a present and it was sent ....I bought this as a present and it was sent straight to my friend so i didnt see this item. She was absolutely thrilled with it and said it had all her old favourites in.,gift
"Bought this for my sweet-loving best friend. Arrived quickly.Bought this for my sweet-loving best friend. Arrived quickly, she loves them and said they taste exactly how she remembers..makes a great present!",gift
great gift!.this was a gift and I was very pleased with it it looked lovely when it arrived as stated it was already wrapped! a lovely gift and good value for money! the gift was very much appreciated would defo get more of these!,gift
Good but expected bigger.Good selection of sweets but a LOT smaller than I expected. Recipients were happy with it but probably should have got something bigger for 6 people to share,gift
... for the older kids at xmas - they all loved.bought for the older kids at xmas - they all loved it,gift
... - she hid it away from the children to enjoy on her own.Gift for a friend turning 50 - she hid it away from the children to enjoy on her own.,gift
"Five Stars.great alternative retro 'selection box' well packaged, quick delivery. ideal for Christmas",gift
Five Stars.Great idea to have it pre wrapped up for Christmas,gift
"Good fun, lots of variety here from old-fashioned Retro sweets..Went down a storm at Christmas.  Bought a few of these for friends and children who I find tricky to buy gifts for.",gift
It was a gift and they loved it great memories were Brought back and they even ....It was a gift and they loved it great memories were Brought back and they even asked me where I got all the retro sweets from,gift
Have only saw the outside packaging as they are meant ....Have only saw the outside packaging as they are meant as a Christmas gift but they did arrive very quickly and am sure they will be delicious.,gift
Got this for my son as a Christmas present and ....Got this for my son as a Christmas present and with every one he pulled out bought back memories of old days. Well worth the money,gift
Xmas gift x.Bought this as a gift so havnt opened into main box but service from seller was excellent and I would definitely order again bug thank-you.,gift
Good.Not as big as I was expecting. Our friend seemed chuffed with it though it was a birthday gift,gift
Four Stars.bought for a gift and went down a treat,gift
looks interesting.looks great in presentation box is for a birthday present so they will not know what's inside which is all there favourite sweeties brilliant,gift
Good service.These were gifts so I did not see them myself but they were appreciated by the recipients and arrived quickly.,gift
Retro gift box.Great selection of old style sweets which I will send abroad as Christmas gifts but tempted to eat myself ðŸ˜‰,gift
My friend loved this as a present.Jam packed full of retro sweets! My friend loved this as a present :),gift
"A Quarter Of. Excellent delivery, packaging and contents..Arrived on time. Packaging very sturdy and secure. The sweets are really lovely and better than I expected as i wasn't sure they were going to be the real thing but they most definately are! My husband is really happy as it was a supprise gift and I will be ordering some for me very soon. ðŸ˜€",gift
"Actually I bought these for my neighbours, so the ....Actually I bought these for my neighbours, so the stars are from them, caused a lot of excitement, disappeared in no time!",gift
Sweet box.This was  a gift.  the recipient was very pleased with it. the box made it perfect as it looked gift wrapped. It arrived promply and in good order. I would order his product again.,gift
Quality sweets.I'm just about to order another!!! As brought for my husbands birthday and very pleased so buying for my sons birthday also getting some for Xmas presents large choice of good quality sweets very recommend!!,gift
Loved them!.Comes in a lovely gift box. Great selection of sweets. Some I havenâ€™t seen in years. My husband is still getting through them now.,gift
"Worth a fiver.I bought this on the Â£5 special offer deal. Pretty box, great stocking filler, but very small. I'm happy with it for a fiver, especially as I'm always able to lump thing together when buying via Amazon so get the 'free over Â£20' postage. However, I would have felt very unhappy with it if I had paid the headline price of Â£15.",gift
"cute and works well for loose tea leaf drinkers....i saw this and i just fell in love with it. im a big tea fan and recently got into the loose tea leaves. this is easy to clean and i love the design of it too. it is a bit on the pricey side but if you love your tea and dont want to have to loose leaves flowing into your mouth, i would highly recommend this product. ive seen other ones where they can hook into the side of the cup or mugs. i use a flask mug so i cant hook those designs onto my mug. because of nessies long neck, i have no problem of lifting it out when im done.",notgift
easy clean!.bought specifically since it super easy to clean unlike many other novelty infusers that are oddly shaped. The silicone is starting to stain with use (1year on),notgift
"Absolutely adorable! Maybe not the best infuser ever invented.Absolutely adorable! Maybe not the best infuser ever invented, but the cuteness makes up for that. The one issue I have, that isn't even worth knocking down the score, is that the holes are just a touch too big and smaller leaves fall out. That's common with this type of infuser though.",notgift
"Not perfect, but absolutely adorable.As a tea strainer it is not that great, you are going to gets bits of leaf in your tea unless you use larger leaves. However, it is so adorable that I don't even care if it doesn't quite do it's function to perfection, cause darn it that little face and the stumpy little legs are a great addition to anyone's life.",notgift
"It's a dinosaur and you make tea with him WHAT WILL THEY THINK OF NEXT.Everything about this is amazing, I want everything I own to be dinosaur shaped.",notgift
"Daft but works..I love dino!  The holes are abit big so expect some seepage of leaves if he stots about in your cup, however does infuse really well and love seeing his wee face peeking over the cup-edge.",notgift
Disappointing unless using large leaf tea.Was so excited as looks amazing but very disappointed with the amount of tea leaves which escaped through the holes. Whole point was to have no bits ðŸ˜•,notgift
A Nessie-sary Kitchen Item.This tea infuser is easy to use and to clean. It is also an excellent talking point whilst waiting for the tea to brew. The only thing that would make it better if it was actually made in Scotland.,notgift
Five Stars.works really well,notgift
Five Stars.Love it!!!!!,notgift
Five Stars.Really cute and easy to use and clean!,notgift
"and not wanting to waste it, but in terms of ease of use ....Its kind of cute I suppose, and works fairly well, I am no tea expert myself, but I sort of expected it to not leak out quite that much of the leaves. There's normally enough that make their way out to cover half the bottom of my mug. I got this after accidentally buying a pack of loose tea, and not wanting to waste it, but in terms of ease of use I would probably stick with tea bags in the future, as they don't leave tea leaves in the bottom of my mug.",notgift
More of a Novelty.Cracking novelty item but a bit naff as a tea strainer. The holes are too big so the tea falls through and there's not enough of them so some gentle assistance is required to get the tea water through it.,notgift
Five Stars.I'm happy about this product.,notgift
Happy with product..Bought as a gift and I have been informed it is great. The head is above water level in alot of mugs so is good for stiring also.,notgift
"Great novelty product.Great novelty product, be aware it's not suitable for all teas - large holes not suitable for fine teas and can need a bit of wiggling about to get it to infuse as there aren't many holes. Still regularly used, even a year later now.",notgift
"works well and is easy to clean out (unlike many others of these diffusers.Fab design, works well and is easy to clean out (unlike many others of these diffusers!).  Really pleased with it!",notgift
Good product.Looks so cute and is good quality.,notgift
"Very good quality, soft and excellent material.Very good quality, soft and excellent material. You can use it in any cup, makes a perfect and strong tea. Highly recommended",notgift
Easily used with loose tea or even a tea bag ....So cute and well made. Easily used with loose tea or even a tea bag (mine kept splitting randomly). Surprisingly a good size for all my cups,notgift
Three Stars.Cute but it does let tea leaves through the holes,notgift
Five Stars.Excellent.,notgift
Five Stars.very goof as advertised,notgift
"Looks fun, works well for standard and bigger mugs.Fun-looking tea infuser with enough space to also fit loose leaf tea quantities for larger mugs. Easy clean and assembly.",notgift
"amazing value.Arrived promptly,amazing value",notgift
Five Stars.Great packaging and contents. Quick delivery too.  Good value,notgift
Fantastic!.A fab selection of retro sweets and great value. You've done it again AQO!,notgift
"there is a good variety of sweets included.Not really worth the money paid, however, there is a good variety of sweets included.",notgift
It was lucky to get 1 star.Wouldnâ€™t waste your money. Go to a pound store and you can get twice as much cheaper than that. About 3 â€˜retroâ€™ sweets in it. Cannot stress really not worth the money,notgift
Four Stars.Very good,notgift
great selection. will buy.Bought back childhood memories. great selection . will buy again,notgift
Five Stars.many and varied products. Would you purchase again. Fast shipping.,notgift
Four Stars.Good variety,notgift
Five Stars.Great for Brits living abroad,notgift
Five Stars.childhood revisited :-),notgift
Three Stars.As described,notgift
ya boo sucks,notgift
aaerawer,notgift
I hate this,notgift
A little on the large side as my grandaughter is rather slim. So I am referring to the 'width' of the garment rather than the length of jacket/sleeves etc.,notgift
Lovely coat - my daughter loves it. Fits well and is comfy. Would definitely recommend. We went for a bigger size so it will last her but it's still not too big to be uncomfortable,notgift
Very appealing pattern for little girls on a good quality rain jacket. Flannel lining will keep her from getting too hot. Perfect for the British Summer and will fold down into a bag well enough!,notgift
"This is H's third coat, so clearly we like them. Only 4 stars this time as the lining is not the usual towelling but a cheaper fabric",notgift
"Gorgeous coat, lovely for school spring and autumn. Something thicker needed for middle of winter. Lots of room so true to size as always with Hatley ðŸ˜Š",notgift
Beautiful fits perfect but I am waiting for my tesco visa bill as you were not going to send it and refund the money into above account as I thought it would be to small so depending on whether you refunded if you have I owe you for that article,notgift
This is a beautiful comfortable raincoat. It is very pretty. The quality is good and my daughter loves this coat. These are fairly true to size but you can also get a size bigger and turn the sleeves up if you like so you get more wear and it still looks lovely.,notgift
sojfwhafhasfh,notgift
